Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
INFY,EQ,19-12-2024,1979.15,1934,1959.75,1920,1948.5,1946.2,1940.72,5323592,10331627136,197114,2924678,54.94
RELIANCE,EQ,20-09-2024,2939.35,2948,2990,2942.75,2972.1,2971.85,2970.54,15448660,45890894256,379677,8564168,55.44
RELIANCE,EQ,23-09-2024,2971.85,2982,3003,2977.9,2985,2986.75,2990.93,4416157,13208420985,146805,2766969,62.66
RELIANCE,EQ,24-09-2024,2986.75,2977,3001,2975.75,2980.5,2978.75,2986.14,8568722,25587444695,201586,6926041,80.83
RELIANCE,EQ,25-09-2024,2978.75,2967.8,2993,2960.4,2988.05,2987.9,2976.46,3534501,10520289097,154120,2170405,61.41
RELIANCE,EQ,26-09-2024,2987.9,2981.3,3008,2976.1,3008,2995.9,2994.82,9409499,28179760605,259792,6388610,67.9
RELIANCE,EQ,27-09-2024,2995.9,2998,3066.95,2984,3047.05,3052.35,3024.87,10298739,31152328126,328612,7192739,69.84
RELIANCE,EQ,30-09-2024,3052.35,3038.8,3049.95,2948.8,2958,2953.15,2977.44,13504407,40208625079,431656,9772452,72.36
RELIANCE,EQ,01-10-2024,2953.15,2961.3,2975.9,2925.65,2927,2929.65,2938.6,8215821,24142992537,330546,5833186,71
RELIANCE,EQ,03-10-2024,2929.65,2873.15,2898.8,2804.15,2813.95,2813.95,2846.93,18878647,53746234226,689559,13301627,70.46
RELIANCE,EQ,04-10-2024,2813.95,2807.85,2834.7,2763.55,2771.5,2773.05,2796.15,18536438,51830708671,534690,10930510,58.97
RELIANCE,EQ,07-10-2024,2773.05,2787,2793,2722.75,2740.7,2741.45,2750.92,11090670,30509518408,423167,7880470,71.05
RELIANCE,EQ,08-10-2024,2741.45,2745.95,2802,2730.2,2798.95,2794.7,2768.6,8510404,23561905588,358981,5245628,61.64
RELIANCE,EQ,09-10-2024,2794.7,2795.05,2801.95,2745,2748,2749.2,2773.49,7155305,19845168138,358324,4624596,64.63
RELIANCE,EQ,10-10-2024,2749.2,2760.05,2772,2738.85,2742.5,2742.1,2749.69,11179323,30739675825,364305,8088422,72.35
RELIANCE,EQ,11-10-2024,2742.1,2740,2766.55,2737.65,2749,2744.2,2751.19,3990061,10977431924,197702,1859446,46.6
RELIANCE,EQ,14-10-2024,2744.2,2758.9,2760.15,2736.5,2745.5,2745.05,2746.12,6110716,16780732590,233903,4147617,67.87
RELIANCE,EQ,15-10-2024,2745.05,2717.05,2743.4,2681.4,2688.6,2688.05,2708.71,16881397,45726823453,602869,11151853,66.06
RELIANCE,EQ,16-10-2024,2688.05,2680,2728,2675.25,2709.4,2708.15,2696.84,10017219,27014852678,356705,6261479,62.51
RELIANCE,EQ,17-10-2024,2708.15,2731.4,2736.9,2704.1,2713.3,2712.85,2718.84,7771830,21130392927,383984,4906216,63.13
RELIANCE,EQ,18-10-2024,2712.85,2704.35,2736.85,2682.65,2717,2718.6,2713.87,6041226,16395116699,295032,3108315,51.45
RELIANCE,EQ,21-10-2024,2718.6,2734.25,2748,2715.45,2736,2738.4,2734.41,7033704,19233063988,228845,4705858,66.9
RELIANCE,EQ,22-10-2024,2738.4,2738.4,2752,2680.45,2684.15,2686.7,2707.8,7915980,21434871570,363161,5147016,65.02
RELIANCE,EQ,23-10-2024,2686.7,2675,2714.95,2670,2682.35,2677.05,2688.32,8607371,23139346660,337356,5462528,63.46
RELIANCE,EQ,24-10-2024,2677.05,2670.55,2687.4,2646.25,2678.9,2679.6,2668.53,11077967,29561935443,345601,7270549,65.63
RELIANCE,EQ,25-10-2024,2679.6,2687,2688.7,2644,2656.3,2655.7,2659.8,9298748,24732826126,388238,5955260,64.04
RELIANCE,EQ,28-10-2024,2655.7,1337,1353,1322.1,1335,1334.35,1337.7,10824350,14479733719,368817,6528553,60.31
RELIANCE,EQ,29-10-2024,1334.35,1328.1,1343.2,1320.3,1340,1340,1331.46,12008361,15988683034,436915,7868884,65.53
RELIANCE,EQ,30-10-2024,1340,1335,1350,1325.35,1344.85,1343.9,1341.16,11984423,16073073274,295954,7501497,62.59
RELIANCE,EQ,31-10-2024,1343.9,1340,1343,1326.15,1332,1332.05,1334.14,9331650,12449744607,414741,6120942,65.59
RELIANCE,EQ,01-11-2024,1332.05,1333.05,1341.95,1333,1338.4,1338.65,1338.89,2127335,2848264120,127374,1496974,70.37
RELIANCE,EQ,04-11-2024,1338.65,1337.85,1340,1285.1,1298.5,1302.15,1301.44,19796890,25764450097,554958,10830488,54.71
RELIANCE,EQ,05-11-2024,1302.15,1293,1309.55,1286.15,1307.5,1305.3,1297.87,16267479,21113119456,371758,9388843,57.72
RELIANCE,EQ,06-11-2024,1305.3,1310,1328.3,1300.2,1326,1325.35,1315.57,21625209,28449504045,349627,13815044,63.88
RELIANCE,EQ,07-11-2024,1325.35,1324,1324,1302.6,1305,1305.65,1308.97,9611974,12581800339,261277,5753322,59.86
RELIANCE,EQ,08-11-2024,1305.65,1297.65,1301.65,1275,1280.2,1283.75,1284.01,19814406,25441900936,477001,12381972,62.49
RELIANCE,EQ,11-11-2024,1283.75,1278.95,1286,1267,1273.4,1272.7,1275.44,9056552,11551068873,286019,5020499,55.43
RELIANCE,EQ,12-11-2024,1272.7,1275.55,1289.3,1267.5,1269.5,1274.25,1277.82,10671091,13635694812,299780,5661871,53.06
RELIANCE,EQ,13-11-2024,1274.25,1270.25,1275.45,1249.5,1252.7,1252.05,1258.62,14633633,18418208536,469215,9321511,63.7
RELIANCE,EQ,14-11-2024,1252.05,1253.6,1272.6,1251.1,1266.9,1267.6,1263.73,12612633,15938929093,301253,6976289,55.31
RELIANCE,EQ,18-11-2024,1267.6,1267.6,1272.9,1243.9,1259.15,1260.75,1258.64,13620611,17143501436,301906,8367305,61.43
RELIANCE,EQ,19-11-2024,1260.75,1260.75,1281.5,1235.15,1237.4,1241.65,1265.5,14183746,17949463404,355649,8727273,61.53
RELIANCE,EQ,21-11-2024,1241.65,1241.65,1243.95,1217.25,1220.45,1223,1224.92,19433843,23804902095,553410,11829284,60.87
RELIANCE,EQ,22-11-2024,1223,1229.4,1268.85,1222.45,1264,1265.4,1247.09,20471957,25530460769,323219,12948565,63.25
RELIANCE,EQ,25-11-2024,1265.4,1290,1304.45,1282.45,1290.95,1287,1291.52,28923341,37355089803,390544,17423873,60.24
RELIANCE,EQ,26-11-2024,1287,1294.95,1297.85,1284.2,1295.6,1295.7,1292.03,9247557,11948133608,218738,5567334,60.2
RELIANCE,EQ,27-11-2024,1295.7,1293.5,1303.85,1286,1293.4,1293.2,1293.84,9572746,12385614506,196614,5187301,54.19
RELIANCE,EQ,28-11-2024,1293.2,1289.95,1296.6,1269.05,1272.75,1270.8,1280.74,15027412,19246153609,311959,9097251,60.54
RELIANCE,EQ,29-11-2024,1270.8,1280,1299.5,1275.25,1291.5,1292.2,1290.83,13202307,17041975592,280529,7350281,55.67
RELIANCE,EQ,02-12-2024,1292.2,1288,1311.35,1277.05,1310.6,1309.15,1298.6,11024152,14315972963,272825,5090869,46.18
RELIANCE,EQ,03-12-2024,1309.15,1317,1326.8,1307,1325.05,1323.3,1320.68,16869482,22279247258,349204,12230775,72.5
RELIANCE,EQ,04-12-2024,1323.3,1326,1328.4,1304.05,1309.5,1308.95,1310.74,19608540,25701743569,250873,14047215,71.64
RELIANCE,EQ,05-12-2024,1308.95,1314.35,1329.95,1306.15,1320.9,1322.05,1319.78,16858723,22249886630,309667,7909470,46.92
RELIANCE,EQ,06-12-2024,1322.05,1323.9,1323.9,1310,1311.6,1311.55,1314.49,9037514,11879701934,193736,5546164,61.37
RELIANCE,EQ,09-12-2024,1311.55,1303,1315,1293.1,1296.4,1295.15,1304.1,14650002,19105110925,202850,9986486,68.17
RELIANCE,EQ,10-12-2024,1295.15,1289.25,1294.9,1280.2,1285.95,1284.85,1286.46,16043729,20639594557,456341,11783897,73.45
RELIANCE,EQ,11-12-2024,1284.85,1285,1290,1276.05,1279,1278.2,1282.33,11724373,15034457833,272365,8134158,69.38
RELIANCE,EQ,12-12-2024,1278.2,1270,1278.2,1260.6,1261.3,1262.9,1265.58,20906813,26459166489,363205,13808070,66.05
RELIANCE,EQ,13-12-2024,1262.9,1260,1275.2,1239.6,1274.45,1272.85,1257.5,28630222,36002621429,482467,17792504,62.15
RELIANCE,EQ,16-12-2024,1272.85,1275,1281,1266.55,1268.4,1268.3,1271.94,9486781,12066629924,224571,5573377,58.75
RELIANCE,EQ,17-12-2024,1268.3,1261.05,1263.9,1242.8,1244.7,1245.3,1249.22,17462791,21814794517,481698,11118567,63.67
RELIANCE,EQ,18-12-2024,1245.3,1240.65,1259.95,1240.65,1254.35,1253.25,1252.58,12670179,15870398087,266155,6988693,55.16
RELIANCE,EQ,19-12-2024,1253.25,1239,1244.9,1229,1230.5,1230.45,1235.73,14244653,17602540036,503893,9361064,65.72
TCS,EQ,20-09-2024,4296.15,4316.9,4330.7,4227.5,4295,4284.9,4278.76,5447908,23310316503,291115,2801478,51.42
TCS,EQ,23-09-2024,4284.9,4300,4309.4,4253,4266.05,4268.5,4270.4,1702319,7269588109,169788,1044526,61.36
TCS,EQ,24-09-2024,4268.5,4251.65,4291,4240,4282,4271.3,4265.03,3012026,12846372403,140428,2425914,80.54
TCS,EQ,25-09-2024,4271.3,4252.35,4289.6,4240,4275.35,4274.75,4263.61,2713073,11567483702,153942,2071060,76.34
TCS,EQ,26-09-2024,4274.75,4260,4316.8,4260,4295,4292.5,4288.28,3964251,16999820746,185888,2744141,69.22
TCS,EQ,27-09-2024,4292.5,4335,4378,4300.05,4305,4308.7,4327.38,3012477,13036144375,231071,1629655,54.1
TCS,EQ,30-09-2024,4308.7,4286.9,4298.75,4260.05,4271,4268.5,4272.29,2503416,10695320177,212084,1980983,79.13
TCS,EQ,01-10-2024,4268.5,4255.55,4295.75,4242.95,4283.25,4287.9,4271.73,1823365,7788915831,121772,1082513,59.37
TCS,EQ,03-10-2024,4287.9,4262.6,4279,4210,4232.5,4232.75,4233.39,3350119,14182364570,168212,2293281,68.45
TCS,EQ,04-10-2024,4232.75,4225,4298,4224.05,4251.9,4252.25,4256.15,2965463,12621465330,194588,1474539,49.72
TCS,EQ,07-10-2024,4252.25,4273.9,4297.25,4229.4,4274,4272.85,4263.8,1472619,6278960110,117843,940293,63.85
TCS,EQ,08-10-2024,4272.85,4272.6,4279.4,4203.95,4259.4,4253.25,4239.02,1541867,6536012532,163898,904607,58.67
TCS,EQ,09-10-2024,4253.25,4260,4295,4246.7,4258.95,4252.95,4267.11,1082504,4619161346,102574,596826,55.13
TCS,EQ,10-10-2024,4252.95,4253.25,4293.85,4198.6,4227.9,4227.4,4242.82,2378875,10093143863,176710,1219923,51.28
TCS,EQ,11-10-2024,4227.4,4143,4241.95,4112.45,4146,4149.2,4164.41,5759183,23983586816,377816,2942450,51.09
TCS,EQ,14-10-2024,4149.2,4140,4165.4,4122.2,4139,4136.65,4144.11,2137590,8858398067,140166,1414698,66.18
TCS,EQ,15-10-2024,4136.65,4131.05,4169.95,4095,4119,4116.8,4119.31,2759474,11367123225,154340,2022225,73.28
TCS,EQ,16-10-2024,4116.8,4085,4115,4067.2,4094,4094.95,4089.04,2359151,9646655679,192691,1611752,68.32
TCS,EQ,17-10-2024,4094.95,4112.8,4129.95,4092.95,4111.25,4109,4108.84,2522659,10365190149,215233,1879351,74.5
TCS,EQ,18-10-2024,4109,4090,4146.15,4080,4130.5,4123.05,4121.27,2361000,9730315577,160733,1297484,54.95
TCS,EQ,21-10-2024,4123.05,4132.6,4139.95,4070,4071,4079.85,4096.64,1595450,6535979616,118454,1055061,66.13
TCS,EQ,22-10-2024,4079.85,4066,4089.8,4006.35,4020,4015.5,4054.8,1928049,7817858767,178215,1341203,69.56
TCS,EQ,23-10-2024,4015.5,3999.6,4113.55,3995.15,4065.15,4066.25,4069.32,1966476,8002229160,129950,1191908,60.61
TCS,EQ,24-10-2024,4066.25,4004,4079,4004,4050,4047.9,4048.73,2676744,10837400632,111747,1948709,72.8
TCS,EQ,25-10-2024,4047.9,4057.05,4092,4032.7,4060,4057.55,4063.37,1759676,7150208882,132353,964642,54.82
TCS,EQ,28-10-2024,4057.55,4068.95,4134,4051,4090.05,4090.85,4092.04,1532534,6271197564,95406,1050314,68.53
TCS,EQ,29-10-2024,4090.85,4095.85,4103.5,4060.1,4080,4075.25,4075.78,1445885,5893106997,101205,1015147,70.21
TCS,EQ,30-10-2024,4075.25,4075,4107,4060.05,4071.2,4084.65,4093.47,1935002,7920876293,109837,1497222,77.38
TCS,EQ,31-10-2024,4084.65,4070,4078.3,3960,3975,3968.45,3980.19,3740372,14887381076,248757,2448263,65.46
TCS,EQ,01-11-2024,3968.45,3989.85,3998.95,3976.05,3983.05,3984.2,3987.41,154895,617630511.6,18588,82548,53.29
TCS,EQ,04-11-2024,3984.2,3966.3,3991.9,3913.25,3967,3964.15,3950.51,2269192,8964463072,199030,1490900,65.7
TCS,EQ,05-11-2024,3964.15,3941.1,3986,3941.1,3971.55,3971.35,3969.47,967590,3840820732,92042,552605,57.11
TCS,EQ,06-11-2024,3971.35,4003.6,4149.8,3975.25,4143,4139.65,4102.32,3792017,15556064937,233333,2491090,65.69
TCS,EQ,07-11-2024,4139.65,4169.7,4205.8,4085.05,4146,4150.9,4144.54,3724349,15435705018,189460,2579748,69.27
TCS,EQ,08-11-2024,4150.9,4155,4169.75,4117.65,4135.65,4147,4141.5,1648039,6825348802,139776,945596,57.38
TCS,EQ,11-11-2024,4147,4128.2,4234.3,4117.65,4186.5,4198.7,4195.46,1406487,5900864157,149144,741937,52.75
TCS,EQ,12-11-2024,4198.7,4216,4218,4164.35,4180,4197.4,4195.93,1587640,6661621167,102025,1106602,69.7
TCS,EQ,13-11-2024,4197.4,4178.1,4196.75,4131.05,4151.65,4150.35,4155.05,1098813,4565628216,114945,702561,63.94
