Company,Series  ,Date  ,Prev Close  ,Open,High,Low,Last Price  ,Close,Average Price ,Volume,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
RELIANCE,EQ,25-10-2024,2679.6,2687,2688.7,2644,2656.3,2655.7,2659.8,9298748,24732826126,388238,"59,55,260",64.04
RELIANCE,EQ,28-10-2024,2655.7,1337,1353,1322.1,1335,1334.35,1337.7,10824350,14479733719,368817,"65,28,553",60.31
RELIANCE,EQ,29-10-2024,1334.35,1328.1,1343.2,1320.3,1340,1340,1331.46,12008361,15988683034,436915,"78,68,884",65.53
RELIANCE,EQ,30-10-2024,1340,1335,1350,1325.35,1344.85,1343.9,1341.16,11984423,16073073274,295954,"75,01,497",62.59
RELIANCE,EQ,31-10-2024,1343.9,1340,1343,1326.15,1332,1332.05,1334.14,9331650,12449744607,414741,"61,20,942",65.59
RELIANCE,EQ,01-11-2024,1332.05,1333.05,1341.95,1333,1338.4,1338.65,1338.89,2127335,2848264120,127374,"14,96,974",70.37
RELIANCE,EQ,04-11-2024,1338.65,1337.85,1340,1285.1,1298.5,1302.15,1301.44,19796890,25764450097,554958,"1,08,30,488",54.71
RELIANCE,EQ,05-11-2024,1302.15,1293,1309.55,1286.15,1307.5,1305.3,1297.87,16267479,21113119456,371758,"93,88,843",57.72
RELIANCE,EQ,06-11-2024,1305.3,1310,1328.3,1300.2,1326,1325.35,1315.57,21625209,28449504045,349627,"1,38,15,044",63.88
RELIANCE,EQ,07-11-2024,1325.35,1324,1324,1302.6,1305,1305.65,1308.97,9611974,12581800339,261277,"57,53,322",59.86
RELIANCE,EQ,08-11-2024,1305.65,1297.65,1301.65,1275,1280.2,1283.75,1284.01,19814406,25441900936,477001,"1,23,81,972",62.49
RELIANCE,EQ,11-11-2024,1283.75,1278.95,1286,1267,1273.4,1272.7,1275.44,9056552,11551068873,286019,"50,20,499",55.43
RELIANCE,EQ,12-11-2024,1272.7,1275.55,1289.3,1267.5,1269.5,1274.25,1277.82,10671091,13635694812,299780,"56,61,871",53.06
RELIANCE,EQ,13-11-2024,1274.25,1270.25,1275.45,1249.5,1252.7,1252.05,1258.62,14633633,18418208536,469215,"93,21,511",63.70
RELIANCE,EQ,14-11-2024,1252.05,1253.6,1272.6,1251.1,1266.9,1267.6,1263.73,12612633,15938929093,301253,"69,76,289",55.31
RELIANCE,EQ,18-11-2024,1267.6,1267.6,1272.9,1243.9,1259.15,1260.75,1258.64,13620611,17143501436,301906,"83,67,305",61.43
RELIANCE,EQ,19-11-2024,1260.75,1260.75,1281.5,1235.15,1237.4,1241.65,1265.5,14183746,17949463404,355649,"87,27,273",61.53
RELIANCE,EQ,21-11-2024,1241.65,1241.65,1243.95,1217.25,1220.45,1223,1224.92,19433843,23804902095,553410,"1,18,29,284",60.87
RELIANCE,EQ,22-11-2024,1223,1229.4,1268.85,1222.45,1264,1265.4,1247.09,20471957,25530460769,323219,"1,29,48,565",63.25
RELIANCE,EQ,25-11-2024,1265.4,1290,1304.45,1282.45,1290.95,1287,1291.52,28923341,37355089803,390544,"1,74,23,873",60.24
RELIANCE,EQ,26-11-2024,1287,1294.95,1297.85,1284.2,1295.6,1295.7,1292.03,9247557,11948133608,218738,"55,67,334",60.20
RELIANCE,EQ,27-11-2024,1295.7,1293.5,1303.85,1286,1293.4,1293.2,1293.84,9572746,12385614506,196614,"51,87,301",54.19
RELIANCE,EQ,28-11-2024,1293.2,1289.95,1296.6,1269.05,1272.75,1270.8,1280.74,15027412,19246153609,311959,"90,97,251",60.54
RELIANCE,EQ,29-11-2024,1270.8,1280,1299.5,1275.25,1291.5,1292.2,1290.83,13202307,17041975592,280529,"73,50,281",55.67
RELIANCE,EQ,02-12-2024,1292.2,1288,1311.35,1277.05,1310.6,1309.15,1298.6,11024152,14315972963,272825,"50,90,869",46.18
RELIANCE,EQ,03-12-2024,1309.15,1317,1326.8,1307,1325.05,1323.3,1320.68,16869482,22279247258,349204,"1,22,30,775",72.50
RELIANCE,EQ,04-12-2024,1323.3,1326,1328.4,1304.05,1309.5,1308.95,1310.74,19608540,25701743569,250873,"1,40,47,215",71.64
RELIANCE,EQ,05-12-2024,1308.95,1314.35,1329.95,1306.15,1320.9,1322.05,1319.78,16858723,22249886630,309667,"79,09,470",46.92
RELIANCE,EQ,06-12-2024,1322.05,1323.9,1323.9,1310,1311.6,1311.55,1314.49,9037514,11879701934,193736,"55,46,164",61.37
RELIANCE,EQ,09-12-2024,1311.55,1303,1315,1293.1,1296.4,1295.15,1304.1,14650002,19105110925,202850,"99,86,486",68.17
RELIANCE,EQ,10-12-2024,1295.15,1289.25,1294.9,1280.2,1285.95,1284.85,1286.46,16043729,20639594557,456341,"1,17,83,897",73.45
RELIANCE,EQ,11-12-2024,1284.85,1285,1290,1276.05,1279,1278.2,1282.33,11724373,15034457833,272365,"81,34,158",69.38
RELIANCE,EQ,12-12-2024,1278.2,1270,1278.2,1260.6,1261.3,1262.9,1265.58,20906813,26459166489,363205,"1,38,08,070",66.05
RELIANCE,EQ,13-12-2024,1262.9,1260,1275.2,1239.6,1274.45,1272.85,1257.5,28630222,36002621429,482467,"1,77,92,504",62.15
RELIANCE,EQ,16-12-2024,1272.85,1275,1281,1266.55,1268.4,1268.3,1271.94,9486781,12066629924,224571,"55,73,377",58.75
RELIANCE,EQ,17-12-2024,1268.3,1261.05,1263.9,1242.8,1244.7,1245.3,1249.22,17462791,21814794517,481698,"1,11,18,567",63.67
RELIANCE,EQ,18-12-2024,1245.3,1240.65,1259.95,1240.65,1254.35,1253.25,1252.58,12670179,15870398087,266155,"69,88,693",55.16
RELIANCE,EQ,19-12-2024,1253.25,1239,1244.9,1229,1230.5,1230.45,1235.73,14244653,17602540036,503893,"93,61,064",65.72
TCS,EQ,19-12-2023,3859.2,3845,3855.1,3790,3808,3816.2,3814.98,2004435,7646876717,133647,"10,88,070",54.28
TCS,EQ,20-12-2023,3816.2,3827.25,3898.8,3766.55,3774,3780.05,3841.02,2586083,9933185211,173222,"13,45,951",52.05
TCS,EQ,21-12-2023,3780.05,3756.25,3806.7,3743.35,3796.65,3787.5,3783.4,1517562,5741545165,141897,"6,61,412",43.58
TCS,EQ,22-12-2023,3787.5,3800,3845.95,3762,3814,3824,3805.11,2413058,9181961990,210826,"13,29,736",55.11
TCS,EQ,26-12-2023,3824,3819.85,3834,3790.15,3798.1,3795.55,3806.25,1285231,4891912409,105834,"7,46,906",58.11
TCS,EQ,27-12-2023,3795.55,3799,3818.2,3768,3808,3811.2,3792.62,1293976,4907556180,135647,"7,79,111",60.21
TCS,EQ,28-12-2023,3811.2,3824,3838,3792.1,3796.15,3799.9,3811.22,1682889,6413855833,133761,"10,16,895",60.43
TCS,EQ,29-12-2023,3799.9,3792,3822.6,3765.4,3800,3793.4,3796.92,1574996,5980129694,131434,"10,04,864",63.80
TCS,EQ,01-01-2024,3793.4,3790,3832,3773,3803,3811.1,3804.27,825907,3141974601,94008,"4,21,397",51.02
TCS,EQ,02-01-2024,3811.1,3811.1,3811.1,3767.25,3781.15,3783.2,3787.05,1344068,5090055959,133902,"9,28,322",69.07
TCS,EQ,03-01-2024,3783.2,3767,3771.85,3687.05,3692.6,3691.75,3711.76,1803075,6692584988,208012,"11,88,251",65.90
TCS,EQ,04-01-2024,3691.75,3701.75,3719,3651,3668.6,3666.8,3668.32,3598144,13199152251,220494,"26,70,094",74.21
TCS,EQ,05-01-2024,3666.8,3675,3747.75,3674.85,3738.6,3737.9,3721.7,1963127,7306170830,155406,"10,33,124",52.63
TCS,EQ,08-01-2024,3737.9,3737.9,3739.75,3672.4,3680.85,3678.3,3696.43,1067805,3947062246,137547,"6,29,551",58.96
TCS,EQ,09-01-2024,3678.3,3709.95,3752.35,3682.75,3696,3689.9,3716.16,1370944,5094642956,112174,"7,56,812",55.20
TCS,EQ,10-01-2024,3689.9,3690,3729.25,3688,3707.05,3713.05,3706.94,1292227,4790202220,111912,"7,55,246",58.45
TCS,EQ,11-01-2024,3713.05,3724,3773,3707,3726.7,3735.55,3738.42,1777909,6646566141,135916,"8,99,818",50.61
TCS,EQ,12-01-2024,3735.55,3848,3905.25,3821.6,3881.9,3882.8,3873.63,6813450,26392805818,337824,"37,68,543",55.31
TCS,EQ,15-01-2024,3882.8,3960,3965,3885,3902,3903.8,3922.67,2801505,10989386687,265310,"15,62,049",55.76
TCS,EQ,16-01-2024,3903.8,3899,3899,3855.55,3861.05,3861.3,3873.57,1432672,5549555028,157027,"9,00,573",62.86
TCS,EQ,17-01-2024,3861.3,3819,3909.95,3812.55,3880,3884.6,3882.57,3458696,13428630128,161556,"22,30,573",64.49
